ticker;year;quarter;revenue;net_income;ebit;depreciation_amortization;current_assets;current_liabilities;total_assets;total_liabilities;total_equity;long_term_debt;operating_cash_flow;cash_and_equiv;inventory;retained_earnings;label_distress
PVT;2025;4;4444125860472.0;344043523634.0;409654997421.0;-9929516846229.0;7522113324368.0;4067395141144.0;22308656455937.0;;11490189283998.0;6245363980337.0;;;345436337479.0;1451819747325.0;0
PVT;2026;1;4177077006958.0;387444269822.0;444223855925.0;-10534517138772.0;8094338828633.0;4056831999868.0;22260309406458.0;;11877633553821.0;5819854702311.0;;;364067687666.0;1772081672786.0;0
NT2;2025;2;2081257647143.0;326247607392.0;364724137781.0;-10256362250906.0;7218734377944.0;4420768373144.0;8714609410937.0;;4293841037793.0;0.0;;;345314071396.0;1189472463631.0;0
NT2;2025;3;1928237075948.0;214233138044.0;236426009682.0;-10428585368130.0;7020360746921.0;3815606038188.0;8323680214025.0;;4508074175837.0;0.0;;;351388858762.0;1403705601675.0;0
NT2;2025;4;2522019339120.0;552839914238.0;622133593988.0;-10469080930582.0;8033411736979.0;4413910356228.0;9273311226003.0;;4859400869775.0;0.0;;;354104290287.0;1755032295613.0;0
NT2;2026;1;2171658357992.0;179978034022.0;223021520372.0;-10507238576002.0;8413359389554.0;4549471134142.0;9588850037939.0;;5039378903797.0;0.0;;;351229832715.0;1935010329635.0;0
PGV;2025;2;11930603570235.0;877342153305.0;881344338371.0;-85176657170076.0;16691890645985.0;11696134377728.0;52847885303075.0;;15538064785117.0;24638492643006.0;;;2892604147281.0;2705538163701.0;0
PGV;2025;3;8345561086944.0;166633635357.0;169709404888.0;-86249574664393.0;15322445061163.0;11132474722712.0;50446824371228.0;;15704698420474.0;22652253626321.0;;;2659304263046.0;2870991719952.0;0
PGV;2025;4;12676937558010.0;2587638901940.0;3157814262271.0;-87321451120675.0;20851958662937.0;14369668242189.0;55031797692019.0;;17903370141305.0;21926455280187.0;;;2386227820414.0;5070527411423.0;0
PGV;2026;1;10367902624222.0;738192454597.0;916042428661.0;-88390587026632.0;19887757640268.0;13867376273594.0;53079387366945.0;;18641562595902.0;19748505131192.0;;;2460919789851.0;5800176620657.0;0
BSR;2025;2;36771954932170.0;846687365554.0;960885895802.0;-34279137303681.0;68390934191482.0;26757473680758.0;84166231670876.0;;56547148192327.0;0.0;;;11846557384982.0;12750655823247.0;0
BSR;2025;3;35290234805794.0;908594978790.0;1056884174128.0;-34815191928041.0;68425606054201.0;25530058563244.0;83843658085255.0;;57453743171117.0;0.0;;;11870812952811.0;13656536215918.0;0
BSR;2025;4;37625367271578.0;3062219892748.0;3495368375492.0;-35341087423572.0;70241188970245.0;23773755620339.0;85143227486974.0;;60513085633865.0;0.0;;;12666909104636.0;7414334911173.0;0
