ticker;year;quarter;revenue;net_income;ebit;depreciation_amortization;current_assets;current_liabilities;total_assets;total_liabilities;total_equity;long_term_debt;operating_cash_flow;cash_and_equiv;inventory;retained_earnings;label_distress
GAS;2025;3;35690134900226.0;2612819725552.0;3209052703186.0;765505523929.0;70160798119085.0;22059820732152.0;93864613349663.0;27487308376982.0;66377304972681.0;1911338737079.0;3663316516134.0;11641062000554.0;2382547626057.0;11154431403738.0;0
GAS;2025;4;43683070609001.0;1387429975481.0;1763597883667.0;594017297856.0;69902465635326.0;20573719389418.0;93568198109790.0;25914808991853.0;67653389117937.0;1531862874096.0;491071034464.0;6876468282085.0;4398771281185.0;12484110062726.0;0
GAS;2026;1;38019609031268.0;2994115272577.0;3754223754396.0;555990118221.0;69205780703236.0;16967709085764.0;92923423491919.0;22333645606660.0;70589777885259.0;1542529805063.0;-468939629618.0;7321907295672.0;3047822684577.0;15384731714103.0;0
GEX;2025;2;10119234846647.0;1197136616701.0;1517485453550.0;-13822190860670.0;26566245825910.0;17816962546776.0;59181325516877.0;33917830110732.0;25263495406145.0;10851234913453.0;2066907224602.0;3817206495630.0;10140996533456.0;4085328985757.0;0
GEX;2025;3;9841133304554.0;781277700140.0;1247829821543.0;-14090515661507.0;31982773615063.0;19952386099219.0;65251034074561.0;37625052562180.0;27625981512381.0;12422075261783.0;-2825899056038.0;4682232720926.0;9929618829943.0;5616455568226.0;0
GEX;2025;4;11635803103041.0;541242237652.0;1116720485647.0;-13506467284127.0;39414126385838.0;21795269254235.0;73592590903667.0;43418985730105.0;30173605173562.0;16668389829851.0;2500594817802.0;8659541542782.0;14454964441243.0;7263827855875.0;0
GEX;2026;1;10721709075577.0;578770471339.0;819145435387.0;-13770113121295.0;48969753049702.0;26440468914254.0;87015108842152.0;53077972739260.0;33937136102892.0;21594016060378.0;-2856708735614.0;5127135467527.0;19405774455895.0;8727942199880.0;0
GIL;2025;2;128933218150.0;-71662859590.0;-55939503141.0;-212768874393.0;2977927179240.0;386431640146.0;3475150051997.0;1001100532501.0;2474049519496.0;612238510690.0;-210864403871.0;348844563226.0;1768085162678.0;754473422225.0;1
GIL;2025;3;198146057575.0;-32994575551.0;-31761170227.0;-215020074869.0;3126722009991.0;570078100219.0;3630450282554.0;1190880558609.0;2439569723945.0;618323455365.0;-184520550839.0;378320593523.0;1881036686726.0;721951811669.0;1
GIL;2025;4;260520572457.0;139048360912.0;131177469132.0;-204838171687.0;3122146930242.0;475879628296.0;3797912574384.0;1147518071982.0;2650394502402.0;671187694016.0;-121519070596.0;333080969102.0;1915794251541.0;851425986894.0;0
